"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Silva.ref"
"Zotu.1048","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Malikia","Malikia_spinosa","AB021387.Mk2Spin2_100_Malikia_spinosa_1451_100"
"Zotu.1049","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Thermoactinomyces","Thermoactinomyces_daqus","JPST01000070.GQUDaqus_94.43_Thermoactinomyces_daqus_1467_99.727"
"Zotu.1050","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Aquicella","Aquicella_unclass","HQ403234.Unc22738_89.75_Aquicella_siphonis_1456_94.025"
"Zotu.1051","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Saccharopolyspora","Saccharopolyspora_endophytica","EU814512.GZ2Endop_95.85_Saccharopolyspora_endophytica_1444_100"
"Zotu.1052","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Arcobacter","Arcobacter_cryaerophilus","DQ234115.UncArco9_98.87_Arcobacter_cryaerophilus_1437_98.747"
"Zotu.1053","Eukaryota","Florideophycidae","Rhodymeniophycidae","Rhodymeniophycidae_or","Rhodymeniophycidae_fa","Titanophora","Titanophora_unclass","AF515301.Tn5Weber_97.12_Methanoculleus_receptaculi_Methanolacinia_paynteri_Methanolinea_tarda_Methanomethylovorans_hollandica_Methanomethylovorans_thermophila_Methanomethylovorans_uponensis_Methanoplanus_petrolearius_Methanoregula_boonei_Methanospirillum_lacunae_105_83.81"
"Zotu.1054","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_ovatus","AB510705.GG7Ovat9_99.18_Bacteroides_ovatus_1450_100"
"Zotu.1055","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas","Cellulomonas_denverensis","AB733539.HQ1Spe25_98.78_Cellulomonas_denverensis_1421_99.015"
"Zotu.1056","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia","Devosia_insulae","AB271045.IUCGinse_97.6_Devosia_insulae_1404_99.145"
"Zotu.1057","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Flindersiella","Tenggerimyces_mesophilus","KP405230.KM2Flavu_91.4_Tenggerimyces_mesophilus_1436_98.955"
"Zotu.1058","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Risungbinella","Risungbinella_massiliensis","CECI01000005.Rn6Mass2_93.46_Risungbinella_massiliensis_1425_99.93"
"Zotu.1059","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Defluviimonas","Defluviimonas_unclass","HJ724634.UnideZZ8_95.78_Haematobacter_massiliensis_Paenirhodobacter_enshiensis_1390_96.331"
"Zotu.1060","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Syntrophaceticus","Syntrophaceticus_unclass","EF558974.Unc42094_87.44_Syntrophaceticus_schinkii_1417_90.402"
"Zotu.1061","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces_cacaoi","GU144523.GQTCaca7_98.28_Streptomyces_cacaoi_1450_99.793"
"Zotu.1062","Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria_grayi","AODG01000026.GJRGray2_97_Listeria_grayi_1472_99.049"
"Zotu.1063","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Leadbetterella","Leadbetterella_unclass","KF911217.Unc0068y_91.38_Leadbetterella_byssophila_1428_96.008"
"Zotu.1064","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Saccharomonospora","Saccharomonospora_viridis","KF998950.H6SSpe10_99.73_Saccharomonospora_viridis_1445_100"
"Zotu.1065","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter_panaciterrae","AB245368.HKTPanac_98.09_Pedobacter_panaciterrae_1443_99.861"
"Zotu.1066","Bacteria","SR1_","SR1_","SR1_","SR1_","SR1_","SR1__unclass","JX521479.Unc75440_84.62_Thermodesulfobium_narugense_1387_73.684"
"Zotu.1067","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Aquamicrobium","Nitratireductor_lucknowense","JAGL01000083.IK6Spec2_98.02_Nitratireductor_lucknowense_1406_98.649"
"Zotu.1068","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","Methanobacterium_beijingense","FJ167436.UncAr605_97.43_Methanobacterium_beijingense_1397_99.714"
"Zotu.1069","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_unclass","Rhodospirillaceae_unclass","CECF01006472.Gt8Met66_86.77_Aestuariispira_insulae_1358_86.009"
"Zotu.1070","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatirosa","Gemmatirosa_unclass","KC554865.Unc40629_90.6_Gemmatirosa_kalamazoonesis_1368_93.421"
"Zotu.1071","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylophilus","Methylophilus_leisingeri","AB539841.H3NSpe18_99.04_Methylophilus_leisingeri_1460_98.973"
"Zotu.1072","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomycetaceae_unclass","Planctomycetaceae_unclass","KC662302.Unc46103_97.04_Singulisphaera_rosea_1403_90.52"
"Zotu.1073","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_9","Prevotella_copri","AB649279.H0LCopr7_98.73_Prevotella_copri_1453_99.725"
"Zotu.1074","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Atopostipes","Atopostipes_suicloacalis","HQ716066.Unc20896_95.41_Atopostipes_suicloacalis_1473_96.47"
"Zotu.1075","Bacteria","Proteobacteria","Betaproteobacteria","TRA3-20","TRA3-20_fa","TRA3-20_ge","TRA3-20_ge_unclass","EF173343.Unc15932_94.08_Denitratisoma_oestradiolicum_1471_91.91"
"Zotu.1076","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Dokdonella","Dokdonella_unclass","JQ769899.Unc16886_95.36_Dokdonella_kunshanensis_1466_96.112"
"Zotu.1077","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces","Agromyces_iriomotensis","AB546308.H5CIriom_97.77_Agromyces_iriomotensis_1453_100"
"Zotu.1078","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_abietaniphila","GQ263702.Unc59111_98.04_Pseudomonas_abietaniphila_1447_98.203"
"Zotu.1079","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonadaceae_unclass","Gemmatimonadaceae_unclass","KC854897.Gt1Bact9_98.69_Gemmatimonas_phototrophica_1467_86.367"
"Zotu.1080","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Paracraurococcus","Paracraurococcus_ruber","LC055640.J2YRube4_99.86_Paracraurococcus_ruber_1408_99.858"
"Zotu.1081","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-014","Ruminococcaceae_UCG-014_unclass","AB506136.Unc23920_93.2_[Clostridium]_aldrichii_1381_86.242"
"Zotu.1082","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Rhodovarius","Rhodovarius_unclass","KC831438.Unc80962_97.66_Roseomonas_alkaliterrae_1414_94.342"
"Zotu.1083","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia","Devosia_unclass","HQ681999.Unc84326_95.24_Devosia_insulae_1407_96.588"
"Zotu.1084","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseriaceae_unclass","Neisseriaceae_unclass","FM873690.Unc04l4w_90.7_Snodgrassella_alvi_1466_91.61"
"Zotu.1085","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Ferruginibacter","Ferruginibacter_unclass","EF683058.Unc27526_96.58_Ferruginibacter_paludis_1462_94.87"
"Zotu.1086","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Thermopolyspora","Thermopolyspora_flexuosa","ADGO01000428.H1SMeta2_95.13_Thermopolyspora_flexuosa_1445_98.547"
"Zotu.1087","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacteriaceae_unclass","Homoserinibacter_gongjuensis","KF803329.LfsSpe24_97.21_Homoserinibacter_gongjuensis_1448_97.583"
"Zotu.1088","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium_unclass","KJ734902.Unc58787_93.23_Flavobacterium_rakeshii_1443_94.179"
"Zotu.1089","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma_salivarium","AXZE01000009.H0HSaliv_94.87_Mycoplasma_salivarium_1443_100"
"Zotu.1090","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium_unclass","KF911144.Unc98075_93.6_Flavobacterium_succinicans_1439_93.607"
"Zotu.1091","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes","Actinoplanes_ferrugineus","AB037002.HWJFerr2_97.83_Actinoplanes_ferrugineus_1438_100"
"Zotu.1092","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Thermobacillus","Thermobacillus_unclass","JN091924.UncB1929_90.55_Paenibacillus_thailandensis_1485_91.044"
"Zotu.1093","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus","Peptostreptococcus_unclass","AY581819.Unc28829_93.57_Peptostreptococcus_russellii_1370_97.226"
"Zotu.1094","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinomadura","Actinomadura_adrarensis","KU356942.H2XSp116_97.17_Actinomadura_adrarensis_1447_100"
"Zotu.1095","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter_unclass","AB637762.Unc04kr0_93.58_Mucilaginibacter_daejeonensis_1444_96.122"
"Zotu.1096","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7","Prevotella_7_unclass","JQ085649.Unc39003_90.82_Prevotella_fusca_1457_91.833"
"Zotu.1097","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Olivibacter","Olivibacter_jilunii","CP002584.HJSSpe12_91.48_Olivibacter_jilunii_1444_99.446"
"Zotu.1098","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","Brevibacterium_massiliense","CAJD01000026.GVCMassi_95.16_Brevibacterium_massiliense_1449_99.931"
"Zotu.1099","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Brevundimonas_diminuta","AB594766.IVUDim30_100_Brevundimonas_diminuta_1384_100"
"Zotu.1100","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Verrucomicrobiaceae_unclass","Verrucomicrobiaceae_unclass","AB247484.Unc24420_96.47_Luteolibacter_luojiensis_1436_95.474"
"Zotu.1101","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter_alluvionis","AB240509.Unc48774_97.24_Pedobacter_alluvionis_1378_99.71"
"Zotu.1102","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Salinibacterium","Salinibacterium_xinjiangense","AJ441003.GKBBac15_100_Salinibacterium_xinjiangense_1408_99.503"
"Zotu.1103","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_barengoltzii","ASSZ01000038.GBFBar20_95.3_Paenibacillus_barengoltzii_1474_99.525"
"Zotu.1104","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium_unclass","AJ271901.RbuSp221_100_Rhizobium_azibense_1405_97.224"
"Zotu.1105","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Verticia","Achromobacter_sediminum","KC986352.G0BSpe39_96.77_Achromobacter_sediminum_1452_100"
"Zotu.1106","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Polyangium","Polyangium_unclass","FJ660562.Unc16634_94.69_Phaselicystis_flava_1408_95.099"
"Zotu.1107","Bacteria","Gemmatimonadetes","Longimicrobia","Longimicrobiales","Longimicrobiaceae","Longimicrobiaceae_ge","Longimicrobiaceae_ge_unclass","HQ190444.Unc04iz3_84.23_Gemmatimonas_aurantiaca_1481_83.525"
"Zotu.1108","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclass","Lachnospiraceae_unclass","AF132267.Unc81625_100_[Clostridium]_indolis_[Desulfotomaculum]_guttoideum_1456_93.544"
"Zotu.1109","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Aquabacterium","Aquabacterium_olei","AFFD02001840.DroBiarm_96.02_Aquabacterium_olei_1453_97.591"
"Zotu.1110","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Thermobispora","Thermobispora_unclass","HM362558.Unc53517_90.96_Acidothermus_cellulolyticus_1483_88.2"
"Zotu.1111","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","Lachnoclostridium_unclass","JQ798417.Unc38767_94.41_[Clostridium]_jejuense_1416_95.268"
"Zotu.1112","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Shinella","Shinella_granuli","AB187585.J1OGran3_98.45_Shinella_granuli_1406_100"
"Zotu.1113","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonadaceae_unclass","Gemmatimonadaceae_unclass","KC854981.Gt1Bact5_82.89_Eggerthella_lenta_Mizugakiibacter_sediminis_1226_80.343"
"Zotu.1114","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides_unclass","FM873019.Unc68012_96.05_Nocardioides_dubius_1442_96.741"
"Zotu.1115","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-010","Ruminococcaceae_UCG-010_unclass","AF050581.UncE6782_100_Intestinimonas_butyriciproducens_1385_87.581"
"Zotu.1116","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Brevundimonas_lenta","KC854944.IVUBasa2_97.58_Brevundimonas_denitrificans_Brevundimonas_lenta_1384_98.699"
"Zotu.1117","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseriaceae_unclass","Neisseriaceae_unclass","FM873690.Unc04l4w_90.7_Snodgrassella_alvi_1466_91.61"
"Zotu.1118","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces_glycovorans","EU214950.GQTSp600_96.36_Streptomyces_glycovorans_1455_98.488"
"Zotu.1119","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Olivibacter","Olivibacter_unclass","KT328577.OvbSpec3_91.94_Olivibacter_ginsengisoli_1450_95.862"
"Zotu.1120","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","Leptotrichia_trevisanii","FM997008.Unc04m26_93.96_Leptotrichia_trevisanii_1432_97.137"
"Zotu.1121","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_smithii","AB271749.BcsSmit5_99.93_Bacillus_smithii_1476_100"
"Zotu.1122","Bacteria","Cyanobacteria","Chloroplast","Chloroplast_or","Chloroplast_fa","Chloroplast_ge","Chloroplast_ge_unclass","AB637338.Unc71413_89.75_Loriellopsis_cavernicola_1375_86.182"
"Zotu.1123","Bacteria","Gemmatimonadetes","S0134_terrestrial_group","S0134_terrestrial_group_or","S0134_terrestrial_group_fa","S0134_terrestrial_group_ge","S0134_terrestrial_group_ge_unclass","KM456118.Unc57114_92.08_Gemmatimonas_aurantiaca_1280_85.234"
"Zotu.1124","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Opitutus","Opitutus_unclass","GU127816.Unc46385_94.08_Opitutus_terrae_1482_93.657"
"Zotu.1125","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Thermobacillus","Thermobacillus_unclass","JN091924.UncB1929_90.55_Paenibacillus_thailandensis_1485_91.044"
"Zotu.1126","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Opitutus","Opitutus_unclass","FR749742.UncVer76_94.67_Opitutus_terrae_1481_95.138"
"Zotu.1127","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_S24-7_group","Bacteroidales_S24-7_group_ge","Bacteroidales_S24-7_group_ge_unclass","EF406367.Unc22588_98.47_Muribaculum_intestinale_1424_90.239"
"Zotu.1128","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Gordonia","Gordonia_rhizosphera","AB023368.HKKRhiz2_100_Gordonia_rhizosphera_1439_99.236"
"Zotu.1129","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinophytocola","Actinophytocola_oryzae","JN188938.I1SSpeci_95_Actinophytocola_oryzae_1440_98.681"
"Zotu.1130","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Lysinimonas","Galbitalea_soli","AB991213.Unc90703_97.37_Galbitalea_soli_1445_98.408"
"Zotu.1131","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus_1","Ruminococcus_callidus","GQ898105.Unc04ddt_96.26_Ruminococcus_callidus_1373_98.616"
"Zotu.1132","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_UCG-004","Lachnospiraceae_UCG-004_unclass","EF399647.Unc38378_93.77_[Clostridium]_amygdalinum_[Clostridium]_indolis_1457_92.793"
"Zotu.1133","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas","Cellulomonas_persica","AB695191.HQ1Persi_98.97_Cellulomonas_persica_1440_100"
"Zotu.1134","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Brevundimonas_staleyi","AB255092.Unc00az9_97.11_Brevundimonas_staleyi_1384_98.483"
"Zotu.1135","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","Paracoccus_marcusii","FJ825879.UncM3986_96.54_Paracoccus_marcusii_1382_98.046"
"Zotu.1136","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","Bdellovibrio_unclass","HF912306.UncBde37_95.82_Bdellovibrio_bacteriovorus_1295_95.676"
"Zotu.1137","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Sphingobacterium_thermophilum","AB563783.HJSTherm_91.79_Sphingobacterium_thermophilum_1451_100"
"Zotu.1138","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Larkinella","Larkinella_unclass","JQ770004.Unc59466_85.83_Larkinella_insperata_1445_90.104"
"Zotu.1139","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Blautia_luti","EF403831.Unc38527_97.32_Blautia_luti_1453_97.454"
"Zotu.1140","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Sphingobacterium_unclass","KT935486.HJSSp143_90.35_Sphingobacterium_gobiense_1452_96.074"
"Zotu.1141","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Geodermatophilaceae","Geodermatophilus","Geodermatophilus_brasiliensis","DQ029102.H5SBrasi_96.31_Geodermatophilus_brasiliensis_1438_100"
"Zotu.1142","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Nonomuraea","Nonomuraea_bangladeshensis","AB274966.N12Bangl_96.86_Nonomuraea_bangladeshensis_1440_100"
"Zotu.1143","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium_subsaxonicum","AM934666.H6DSubs2_95.16_Flavobacterium_subsaxonicum_1437_99.93"
"Zotu.1144","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacteraceae_unclass","Caulobacteraceae_unclass","AJ863328.Unc00kkh_94.67_Brevundimonas_aveniformis_1406_95.377"
"Zotu.1145","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia","Devosia_riboflavina","D49423.IUCRibo3_100_Devosia_riboflavina_1400_100"
"Zotu.1146","Bacteria","Firmicutes","Clostridia","Clostridiales","Defluviitaleaceae","Defluviitalea","Defluviitalea_unclass","EF558948.Unc49032_97.37_Defluviitalea_saccharophila_1450_96.414"
"Zotu.1147","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Opitutus","Opitutus_unclass","KC170394.UncB7226_94.14_Opitutus_terrae_1480_93.041"
"Zotu.1148","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Trueperaceae","Truepera","Truepera_unclass","JN091909.Unc17397_87.71_Truepera_radiovictrix_1372_89.723"
"Zotu.1149","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer","Ensifer_adhaerens","AB678697.IUDSp198_99.72_Ensifer_adhaerens_1406_99.716"
"Zotu.1150","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces_zhaozhouensis","DL074614.Unide391_95.19_Streptomyces_zhaozhouensis_1468_97.48"
"Zotu.1151","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Olivibacter","Olivibacter_ginsengisoli","AB267716.OvbGinse_91.23_Olivibacter_ginsengisoli_1444_99.861"
"Zotu.1152","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Olivibacter","Olivibacter_unclass","KT328577.OvbSpec3_91.94_Olivibacter_ginsengisoli_1450_95.862"
"Zotu.1153","Bacteria","Cyanobacteria","Chloroplast","Chloroplast_or","Chloroplast_fa","Chloroplast_ge","Chloroplast_ge_unclass","BABL01000113.VigRadia_98.57_Loriellopsis_cavernicola_1422_86.357"
"Zotu.1154","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Verrucomicrobiaceae_unclass","Verrucomicrobiaceae_unclass","FJ612188.UncB9227_89.32_Verrucomicrobium_spinosum_1487_86.819"
"Zotu.1155","Bacteria","Firmicutes","Bacilli","SHBZ1548","SHBZ1548_fa","SHBZ1548_ge","SHBZ1548_ge_unclass","AYLA01000008.Gt1Bac11_89.61_Cohnella_fontinalis_1505_90.166"
"Zotu.1156","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas","Comamonas_terrae","AB021338.FNWBaRM3_100_Comamonas_terrae_1459_97.395"
"Zotu.1157","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria_ge","Mitochondria_ge_unclass","CDOU01048076.QrcRob18_95.97_Caedibacter_caryophilus_896_80.246"
"Zotu.1158","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","Haemophilus_parahaemolyticus","AJ290758.GJIPar51_100_Haemophilus_parahaemolyticus_1461_99.316"
"Zotu.1159","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Chryseobacterium","Chryseobacterium_balustinum","AB680758.HZ9Balu2_99.65_Chryseobacterium_balustinum_1438_100"
"Zotu.1160","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_urinalis","AF009507.S53tSu91_100_Streptococcus_urinalis_1470_97.143"
"Zotu.1161","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Chitinophaga","Chitinophaga_terrae","AB278570.HV5Terr2_95.94_Chitinophaga_terrae_1448_99.862"
"Zotu.1162","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_campinasensis","DQ232773.GBFCampi_98.3_Paenibacillus_campinasensis_1475_99.39"
"Zotu.1163","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Sporosarcina","Sporosarcina_siberiensis","KC160934.GPQSpec8_96.76_Sporosarcina_siberiensis_1474_99.593"
"Zotu.1164","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","Paracoccus_unclass","LC093401.UncPa167_95.92_Paracoccus_carotinifaciens_1386_97.835"
"Zotu.1165","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Megasphaera","Megasphaera_elsdenii","AY038994.GH8Els10_100_Megasphaera_elsdenii_1486_99.664"
"Zotu.1166","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces_malachitofuscus","EU741202.GQTSp296_98.8_Streptomyces_malachitofuscus_1442_99.445"
"Zotu.1167","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Flavitalea","Flavitalea_populi","HQ119294.Unc33240_93.24_Flavitalea_populi_1427_98.388"
"Zotu.1168","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","KCM-B-15","KCM-B-15_ge","KCM-B-15_ge_unclass","EF492890.Unc68032_91.27_Dongia_mobilis_1430_90.909"
"Zotu.1169","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium_naphthalenivorans","AB663504.RbuNapht_98.89_Rhizobium_naphthalenivorans_1408_100"
"Zotu.1170","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Taibaiella","Taibaiella_unclass","KM456078.Unc91703_90.78_Taibaiella_chishuiensis_1447_94.817"
"Zotu.1171","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_polynesiensis","CCXH01000308.GFKSpec6_94.39_Actinomyces_polynesiensis_1473_100"
"Zotu.1172","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Nonomuraea","Nonomuraea_muscovyensis","JN896616.N12Spec4_96.98_Nonomuraea_muscovyensis_1446_99.723"
